2023-5-17  6:30:16; VRU; 5541-2274; 166326034; %E000%; 330026
2023-5-17  9:6:5; VRU; 5547-2280; 166337258; %E000%; 330065
2023-5-17  11:21:14; VRU; 5534-2267; 166362817; %E000%; 330126
2023-5-18  13:6:41; VRU; 5539-2272; 166513508; %E000%; 330445
2023-5-18  16:51:14; VRU; 5514-2469; 166634809; %E000%; 330723
2023-5-18  17:6:20; VRU; 5653-2467; 166537999; %E000%; 330452
2023-5-19  6:30:40; VRU; 5559-2293; 166556117; %E000%; 330503
2023-5-19  6:30:40; VRU; 5549-2282; 166555812; %E000%; 330502
2023-5-19  6:30:41; VRU; 5457-2165; 166554398; %E000%; 330497
2023-5-19  6:30:42; VRU; 5510-2240; 166555280; %E000%; 330500
2023-5-19  6:30:42; VRU; 5330-1922; 166554126; %E000%; 330496
2023-5-19  6:30:43; VRU; 5560-2294; 166556422; %E000%; 330504
2023-5-19  6:30:43; VRU; 5492-2207; 166554670; %E000%; 330498
2023-5-19  6:30:44; VRU; 5522-2255; 166555540; %E000%; 330501
2023-5-19  6:30:44; VRU; 626-1083; 166557337; %E000%; 330507
2023-5-19  6:30:45; VRU; 5503-2220; 166554975; %E000%; 330499
2023-5-19  6:30:45; VRU; 5575-2319; 166556727; %E000%; 330505
2023-5-19  6:30:45; VRU; 5589-2349; 166557032; %E000%; 330506
2023-5-19  15:5:45; VRU; 5591-2472; 166639374; %E000%; 330735
2023-5-19  20:21:48; VRU; 5550-2283; 166662420; %E000%; 330738
2023-5-19  20:51:7; VRU; 5577-2320; 166662725; %E000%; 330739
2023-5-19  21:5:25; VRU; 5374-1997; 166663030; %E000%; 330740
2023-5-19  21:5:26; VRU; 5578-2324; 166663302; %E000%; 330741
2023-5-19  22:20:35; VRU; 5478-2474; 166663867; %E000%; 330743
2023-5-19  22:20:36; VRU; 5452-2470; 166663607; %E000%; 330742
2023-5-20  6:30:38; VRU; 5504-2471; 166709956; %E000%; 330926
