2024-12-16  16:2:32; FSP; 5683723-354543; 206240595; %E000%; 357
2024-12-16  16:2:32; FSP; 5686471-354690; 206240792; %E000%; 359
2024-12-16  16:2:33; FSP; 5683724-354543; 206240689; %E000%; 358
2024-12-16  16:2:35; FSP; 5686473-354690; 206240988; %E000%; 361
2024-12-16  16:3:30; FSP; 5689273-354825; 206241520; %E000%; 365
2024-12-16  16:3:31; FSP; 5686474-354690; 206241237; %E000%; 362
2024-12-16  16:3:32; FSP; 5689271-354825; 206241331; %E000%; 363
2024-12-16  16:3:33; FSP; 5689272-354825; 206241425; %E000%; 364
2024-12-16  16:3:33; FSP; 5689274-354825; 206241614; %E000%; 366
2024-12-16  16:27:41; FSP; 5691111-354928; 206243520; %E000%; 367
2024-12-16  16:31:44; FSP; 5691114-354928; 206243689; %E000%; 368
2024-12-16  18:2:50; FSP; 5678442-354255; 206260241; %E000%; 374
2024-12-16  18:2:51; FSP; 5678441-354255; 206260147; %E000%; 373
2024-12-16  18:2:52; FSP; 5678443-354255; 206260335; %E000%; 375
2024-12-16  18:2:53; FSP; 5678444-354255; 206260429; %E000%; 376
2024-12-16  18:2:54; FSP; 5683861-354555; 206260523; %E000%; 377
2024-12-16  18:2:55; FSP; 5683862-354555; 206260617; %E000%; 378
2024-12-16  18:2:55; FSP; 5683863-354555; 206260735; %E000%; 379
2024-12-16  18:2:57; FSP; 5683864-354555; 206260841; %E000%; 380
2024-12-16  18:3:52; FSP; 5687554-354733; 206261556; %E000%; 384
2024-12-16  18:3:52; FSP; 5687551-354733; 206260935; %E000%; 381
2024-12-16  18:3:53; FSP; 5687552-354733; 206261029; %E000%; 382
2024-12-16  18:3:54; FSP; 5687553-354733; 206261123; %E000%; 383
2024-12-16  18:11:53; FSP; 5678113-354237; 206259923; %E000%; 371
2024-12-16  18:11:55; FSP; 5678111-354237; 206259681; %E000%; 369
2024-12-16  18:11:55; FSP; 5678112-354237; 206259775; %E000%; 370
2024-12-16  18:11:56; FSP; 5678114-354237; 206260041; %E000%; 372
2024-12-16  18:16:55; FSP; 5689522-354839; 206261751; %E000%; 385
2024-12-16  18:16:56; FSP; 5689521-354839; 206262531; %E000%; 388
2024-12-16  18:16:56; FSP; 5689523-354839; 206261917; %E000%; 386
2024-12-16  18:16:57; FSP; 5689524-354839; 206262263; %E000%; 387
