2019-12-20  2:9:19; PPP; 8045-8045; %E000%; 0068824
2019-12-20  2:9:22; PPP; 8046-8046; %E000%; 0068825
2019-12-20  2:9:25; PPP; 8050-8050; %E000%; 0068826
2019-12-20  2:9:26; PPP; 8051-8051; %E000%; 0068827
2019-12-20  2:9:28; PPP; 8023-8023; %E000%; 0068805
2019-12-21  2:8:17; PPP; 7929-7929; %E000%; 0069195
2019-12-21  2:8:19; PPP; 7934-7934; %E000%; 0069196
2019-12-21  2:8:20; PPP; 8047-8047; %E000%; 0069197
2019-12-21  2:8:22; PPP; 8048-8048; %E000%; 0069198
2019-12-21  2:8:22; PPP; 8049-8049; %E000%; 0069199
2019-12-21  2:8:23; PPP; 8052-8052; %E000%; 0069200
2019-12-21  2:8:25; PPP; 8053-8053; %E000%; 0069201
2019-12-21  2:8:27; PPP; 8054-8054; %E000%; 0069202
2019-12-21  2:8:27; PPP; 8057-8057; %E000%; 0069204
2019-12-21  2:8:29; PPP; 8056-8056; %E000%; 0069203
2019-12-21  2:8:31; PPP; 8059-8059; %E000%; 0069206
2019-12-21  2:8:33; PPP; 8058-8058; %E000%; 0069205
2019-12-21  2:8:33; PPP; 8060-8060; %E000%; 0069207
2019-12-21  2:8:34; PPP; 8061-8061; %E000%; 0069208
